prefix_a,prefix_b,shared_labels
172.185,20.69,15
172.185,20.97,15
172.202,20.172,15
172.202,20.98,15
172.202,74.249,15
172.212,52.165,15
20.110,20.112,15
20.110,20.228,15
20.110,23.102,15
20.110,52.242,15
20.112,20.12,15
20.112,20.172,15
20.112,52.159,15
20.114,20.96,15
20.114,23.102,15
20.114,52.176,15
20.115,20.97,15
20.115,57.154,15
20.12,20.64,15
20.12,52.161,15
20.12,52.247,15
20.125,57.154,15
20.163,40.75,15
20.165,52.230,15
20.168,20.169,15
20.168,23.102,15
20.168,52.141,15
20.168,52.176,15
20.172,20.3,15
20.172,52.165,15
20.172,52.242,15
20.225,4.242,15
20.225,40.65,15
20.228,20.237,15
20.228,20.65,15
20.228,52.159,15
20.230,20.25,15
20.230,20.3,15
20.230,40.78,15
20.230,65.52,15
20.237,4.227,15
20.29,4.150,15
20.29,40.75,15
20.3,20.45,15
20.3,52.162,15
20.45,20.96,15
20.57,52.159,15
20.57,57.154,15
20.59,4.154,15
20.59,4.227,15
20.59,52.165,15
20.59,65.52,15
20.64,57.154,15
20.65,52.161,15
20.65,52.225,15
20.69,40.116,15
20.80,23.102,15
20.80,40.65,15
20.80,52.225,15
20.83,40.75,15
20.88,52.159,15
20.9,40.78,15
20.9,52.247,15
20.94,52.165,15
20.96,52.162,15
20.97,40.65,15
20.97,52.176,15
20.98,52.161,15
20.98,52.251,15
20.98,65.52,15
4.151,4.227,15
4.151,52.165,15
4.151,65.52,15
4.154,74.249,15
4.227,52.165,15
4.255,40.65,15
40.78,57.154,15
52.159,52.165,15
52.159,65.52,15
52.161,52.162,15
52.161,64.236,15
